200754_x_at,217879_at,210616_s_at,212718_at,209140_x_at,209140_x_at,222607_s_at,216526_x_at,217913_at,1554078_s_at,212870_at,212239_at,target
13.178,10.223,11.207,13.433,15.752,15.752,9.707,15.517,10.525,11.283,10.691,10.267,DLBCL
13.457,10.815,11.597,12.175,14.721,14.721,10.116,14.705,10.549,11.1,10.34,10.535,DLBCL
13.297,10.134,11.051,12.37,15.206,15.206,10.738,15.441,10.333,10.768,10.59,10.897,DLBCL
13.695,10.394,11.005,12.796,14.832,14.832,10.713,14.917,10.293,10.941,10.365,10.292,DLBCL
13.711,10.106,11.357,12.427,15.296,15.296,10.069,15.412,9.961,10.317,10.463,9.941,DLBCL
13.718,10.231,10.958,12.628,15.273,15.273,9.938,15.32,9.639,10.599,10.138,9.739,DLBCL
13.314,10.367,11.154,12.79,15.185,15.185,10.331,15.32,10.197,10.893,10.45,11.012,DLBCL
12.96,9.848,11.564,12.439,15.416,15.416,11.006,15.52,11.021,10.761,10.401,10.885,DLBCL
13.241,9.949,11.724,12.042,15.567,15.567,10.06,15.422,10.319,11.171,9.8,9.069,DLBCL
13.522,11.022,11.389,12.373,15.299,15.299,10.648,15.383,10.587,11.479,10.275,10.893,DLBCL
13.613,10.075,11.304,12.553,15.364,15.364,10.054,15.209,10.177,10.898,10.997,10.756,DLBCL
12.368,9.926,11.011,12.422,15.409,15.409,9.764,15.559,10.089,9.613,11.082,11.657,DLBCL
13.679,10.552,10.99,12.109,15.449,15.449,10.195,15.292,10.126,10.912,10.616,10.66,DLBCL
13.8,10.228,10.736,12.315,15.304,15.304,10.333,15.504,11.241,11.342,10.121,10.155,DLBCL
13.806,11.034,10.911,12.661,15.115,15.115,10.467,15.142,10.935,11.128,10.072,9.835,DLBCL
13.471,10.522,11.222,12.52,14.922,14.922,10.14,14.89,10.428,11.113,10.547,9.414,DLBCL
13.403,10.505,11.087,12.476,15.078,15.078,10.819,15.195,10.636,10.783,10.178,10.406,DLBCL
13.344,10.635,10.988,11.866,14.365,14.365,10.167,14.654,10.591,10.859,10.167,10.372,DLBCL
13.291,9.589,10.972,12.361,15.652,15.652,9.931,15.706,9.431,10.74,9.865,9.828,DLBCL
13.737,10.593,10.762,12.572,15.417,15.417,10.379,15.586,10.678,11.239,10.245,10.678,DLBCL
12.103,9.786,11.571,12.065,15.136,15.136,9.002,15.003,10.158,9.966,10.32,11.419,DLBCL
13.818,10.379,11.009,12.437,15.175,15.175,10.363,15.107,9.907,10.938,9.667,9.875,DLBCL
13.75,10.209,11,12.297,15.635,15.635,9.864,15.694,10.326,11.083,10.022,9.905,DLBCL
13.984,10.039,10.628,12.539,15.524,15.524,10.58,15.593,10.313,11.353,9.917,9.877,DLBCL
12.995,10.063,10.782,13.091,15.432,15.432,10.105,15.49,9.632,10.9,10.419,10.892,DLBCL
12.804,9.669,11.018,12.851,15.638,15.638,10.21,15.656,10.102,10.429,10.173,10.643,DLBCL
13.015,9.823,10.795,12.801,15.244,15.244,9.956,15.166,9.87,11.165,10.278,9.715,DLBCL
13.119,10.586,10.966,12.608,15.279,15.279,10.129,15.332,9.895,11.416,10.568,10.255,DLBCL
13.7,10.317,11.084,13.557,15.277,15.277,10.556,15.212,9.672,11.277,10.251,10.329,DLBCL
12.768,9.805,11.002,12.229,14.919,14.919,10.129,14.81,10.559,11.106,9.952,10.969,DLBCL
13.003,8.704,10.714,12.405,14.763,14.763,9.911,14.655,10.271,11.02,9.453,10.017,DLBCL
13.474,10.563,10.871,13.338,15.006,15.006,10.45,14.979,9.667,10.717,10.285,10.67,DLBCL
12.358,10.227,11.607,12.428,15.602,15.602,10.075,15.6,10.822,10.903,10.34,11.274,DLBCL
13.411,9.829,11.415,12.425,15.625,15.625,9.466,15.618,9.706,10.51,10.105,9.54,DLBCL
12.862,10.122,11.467,12.473,15.519,15.519,10.198,15.594,9.934,9.526,10.522,10.804,DLBCL
13.238,10.552,10.7,12.571,15.137,15.137,10.404,15.391,10.071,10.901,10.16,10.66,DLBCL
